Date;Highprice;Lowprice;Closingprice;Gennemsnitligepris;Totalvolume;Omsætning
30-12-2021;1.871,77;1.851,35;1.863,99;;1;
29-12-2021;1.862,85;1.843,35;1.850,94;;1;
28-12-2021;1.869,12;1.848,71;1.854,54;;1;
27-12-2021;1.854,45;1.825,31;1.849,92;;1;
23-12-2021;1.835,64;1.815,26;1.825,05;;1;
22-12-2021;1.825,68;1.791,13;1.825,68;;1;
21-12-2021;1.792,78;1.759,32;1.784,76;;1;
20-12-2021;1.830,40;1.689,37;1.752,91;;1;
17-12-2021;1.858,41;1.832,17;1.844,49;;1;
16-12-2021;1.869,45;1.842,78;1.861,89;;1;
15-12-2021;1.836,11;1.810,74;1.833,39;;1;
14-12-2021;1.852,17;1.804,61;1.806,19;;1;
13-12-2021;1.860,71;1.836,30;1.849,91;;1;
10-12-2021;1.845,51;1.825,44;1.839,19;;1;
09-12-2021;1.857,87;1.839,41;1.852,62;;1;
08-12-2021;1.856,09;1.824,15;1.839,42;;1;
07-12-2021;1.820,81;1.773,89;1.818,83;;1;
06-12-2021;1.774,83;1.749,45;1.762,32;;1;
03-12-2021;1.785,88;1.751,01;1.753,72;;1;
02-12-2021;1.796,14;1.748,14;1.760,71;;1;
01-12-2021;1.801,15;1.775,72;1.800,63;;1;
30-11-2021;1.805,35;1.781,56;1.783,92;;1;
29-11-2021;1.822,85;1.792,67;1.801,27;;1;
26-11-2021;1.821,25;1.748,71;1.806,59;;1;
25-11-2021;1.835,62;1.816,63;1.823,76;;1;
24-11-2021;1.834,58;1.803,71;1.810,76;;1;
23-11-2021;1.856,41;1.812,80;1.817,26;;1;
22-11-2021;1.906,64;1.872,04;1.873,41;;1;
19-11-2021;1.906,47;1.886,76;1.889,77;;1;
18-11-2021;1.911,20;1.893,14;1.894,86;;1;
17-11-2021;1.911,45;1.888,18;1.900,17;;1;
16-11-2021;1.901,11;1.886,00;1.896,25;;1;
15-11-2021;1.898,45;1.888,57;1.895,70;;1;
12-11-2021;1.900,88;1.885,78;1.897,09;;1;
11-11-2021;1.888,47;1.855,23;1.887,10;;1;
10-11-2021;1.877,60;1.848,67;1.864,08;;1;
09-11-2021;1.886,67;1.864,46;1.878,45;;1;
08-11-2021;1.881,85;1.850,94;1.876,36;;1;
05-11-2021;1.887,99;1.841,28;1.846,16;;1;
04-11-2021;1.898,41;1.874,03;1.884,08;;1;
03-11-2021;1.872,58;1.844,55;1.864,32;;1;
02-11-2021;1.864,20;1.839,29;1.864,05;;1;
01-11-2021;1.858,14;1.841,57;1.851,97;;1;
29-10-2021;1.860,19;1.817,92;1.845,67;;1;
28-10-2021;1.842,72;1.807,57;1.842,72;;1;
27-10-2021;1.842,96;1.816,34;1.826,77;;1;
26-10-2021;1.836,01;1.814,08;1.835,23;;1;
25-10-2021;1.835,07;1.819,25;1.829,45;;1;
22-10-2021;1.828,65;1.802,00;1.824,89;;1;
21-10-2021;1.804,79;1.787,80;1.804,43;;1;
20-10-2021;1.805,97;1.783,90;1.797,15;;1;
19-10-2021;1.788,74;1.763,06;1.788,39;;1;
18-10-2021;1.771,39;1.747,44;1.768,84;;1;
15-10-2021;1.762,60;1.736,73;1.762,55;;1;
14-10-2021;1.756,05;1.735,41;1.737,19;;1;
13-10-2021;1.752,14;1.706,80;1.746,79;;1;
12-10-2021;1.719,66;1.683,52;1.704,17;;1;
11-10-2021;1.699,80;1.679,75;1.696,83;;1;
08-10-2021;1.733,11;1.703,35;1.704,36;;1;
07-10-2021;1.724,60;1.702,23;1.723,00;;1;
06-10-2021;1.702,32;1.670,02;1.699,59;;1;
05-10-2021;1.706,54;1.681,30;1.702,19;;1;
04-10-2021;1.714,99;1.684,12;1.685,43;;1;
01-10-2021;1.725,92;1.701,67;1.705,38;;1;
30-09-2021;1.764,19;1.724,15;1.727,57;;1;
29-09-2021;1.760,86;1.732,00;1.732,00;;1;
28-09-2021;1.766,72;1.718,76;1.720,83;;1;
27-09-2021;1.812,82;1.767,71;1.770,98;;1;
24-09-2021;1.825,64;1.791,48;1.800,28;;1;
23-09-2021;1.835,81;1.819,19;1.827,08;;1;
22-09-2021;1.819,74;1.796,44;1.803,92;;1;
21-09-2021;1.809,26;1.769,07;1.805,30;;1;
20-09-2021;1.786,68;1.753,26;1.769,86;;1;
17-09-2021;1.822,05;1.794,76;1.795,82;;1;
16-09-2021;1.808,15;1.788,42;1.806,87;;1;
15-09-2021;1.810,41;1.787,38;1.790,24;;1;
14-09-2021;1.809,85;1.789,54;1.802,10;;1;
13-09-2021;1.806,74;1.791,93;1.796,45;;1;
10-09-2021;1.801,26;1.780,33;1.788,35;;1;
09-09-2021;1.806,77;1.790,61;1.802,10;;1;
08-09-2021;1.828,43;1.802,56;1.807,30;;1;
07-09-2021;1.837,58;1.823,01;1.829,51;;1;
06-09-2021;1.835,67;1.824,17;1.833,88;;1;
03-09-2021;1.834,09;1.805,85;1.819,71;;1;
02-09-2021;1.829,59;1.807,62;1.829,47;;1;
01-09-2021;1.820,52;1.799,92;1.810,55;;1;
31-08-2021;1.836,10;1.796,79;1.799,64;;1;
30-08-2021;1.824,35;1.808,46;1.823,45;;1;
27-08-2021;1.824,06;1.813,32;1.816,98;;1;
26-08-2021;1.832,27;1.822,61;1.828,45;;1;
25-08-2021;1.841,09;1.820,94;1.825,06;;1;
24-08-2021;1.861,17;1.835,29;1.837,55;;1;
23-08-2021;1.866,27;1.849,97;1.860,14;;1;
20-08-2021;1.859,20;1.834,06;1.857,52;;1;
19-08-2021;1.845,36;1.821,30;1.842,70;;1;
18-08-2021;1.854,99;1.837,28;1.852,69;;1;
17-08-2021;1.841,19;1.811,32;1.838,92;;1;
16-08-2021;1.822,21;1.808,43;1.817,20;;1;
13-08-2021;1.820,44;1.807,26;1.817,85;;1;
12-08-2021;1.805,54;1.794,09;1.804,48;;1;
11-08-2021;1.812,30;1.792,78;1.803,08;;1;
10-08-2021;1.822,05;1.802,80;1.804,71;;1;
09-08-2021;1.811,65;1.785,19;1.807,38;;1;
06-08-2021;1.807,95;1.783,19;1.787,95;;1;
05-08-2021;1.814,64;1.797,24;1.813,95;;1;
04-08-2021;1.787,96;1.747,17;1.783,97;;1;
03-08-2021;1.753,30;1.740,33;1.744,88;;1;
02-08-2021;1.747,77;1.724,47;1.740,80;;1;
30-07-2021;1.739,82;1.710,74;1.735,00;;1;
29-07-2021;1.742,40;1.716,40;1.722,69;;1;
28-07-2021;1.734,10;1.705,27;1.730,92;;1;
27-07-2021;1.715,50;1.701,22;1.707,10;;1;
26-07-2021;1.734,44;1.712,39;1.715,37;;1;
23-07-2021;1.729,81;1.711,82;1.726,97;;1;
22-07-2021;1.723,43;1.699,25;1.722,94;;1;
21-07-2021;1.708,86;1.686,22;1.708,10;;1;
20-07-2021;1.698,83;1.672,10;1.680,66;;1;
19-07-2021;1.698,55;1.666,99;1.684,44;;1;
16-07-2021;1.703,32;1.688,51;1.696,92;;1;
15-07-2021;1.713,23;1.692,57;1.694,31;;1;
14-07-2021;1.715,92;1.699,27;1.709,84;;1;
13-07-2021;1.714,96;1.698,44;1.712,11;;1;
12-07-2021;1.713,01;1.690,35;1.711,37;;1;
09-07-2021;1.707,56;1.675,20;1.691,92;;1;
08-07-2021;1.711,90;1.692,24;1.694,99;;1;
07-07-2021;1.715,14;1.689,35;1.710,89;;1;
06-07-2021;1.698,13;1.674,73;1.689,08;;1;
05-07-2021;1.678,32;1.666,29;1.674,03;;1;
02-07-2021;1.685,96;1.667,88;1.673,47;;1;
01-07-2021;1.681,73;1.659,77;1.676,84;;1;
30-06-2021;1.670,35;1.648,63;1.654,35;;1;
29-06-2021;1.666,42;1.643,56;1.658,37;;1;
28-06-2021;1.648,27;1.634,61;1.647,41;;1;
25-06-2021;1.640,47;1.630,50;1.636,03;;1;
24-06-2021;1.639,83;1.622,12;1.636,86;;1;
23-06-2021;1.638,45;1.619,36;1.621,16;;1;
22-06-2021;1.639,35;1.624,32;1.633,20;;1;
21-06-2021;1.632,56;1.612,05;1.632,56;;1;
18-06-2021;1.646,74;1.622,49;1.624,94;;1;
17-06-2021;1.635,48;1.615,67;1.632,57;;1;
16-06-2021;1.649,72;1.631,07;1.646,42;;1;
15-06-2021;1.640,08;1.626,66;1.633,64;;1;
14-06-2021;1.626,35;1.616,16;1.625,86;;1;
11-06-2021;1.625,77;1.610,32;1.614,66;;1;
10-06-2021;1.618,80;1.596,36;1.612,21;;1;
09-06-2021;1.612,28;1.591,35;1.607,62;;1;
08-06-2021;1.605,36;1.586,14;1.594,63;;1;
07-06-2021;1.596,69;1.582,74;1.594,98;;1;
04-06-2021;1.586,22;1.571,25;1.585,77;;1;
03-06-2021;1.576,51;1.556,92;1.574,75;;1;
02-06-2021;1.597,03;1.568,81;1.570,09;;1;
01-06-2021;1.598,25;1.581,24;1.586,23;;1;
31-05-2021;1.595,50;1.577,40;1.577,40;;1;
28-05-2021;1.592,32;1.563,63;1.587,37;;1;
27-05-2021;1.589,25;1.569,65;1.569,65;;1;
26-05-2021;1.599,33;1.586,18;1.588,02;;1;
25-05-2021;1.601,87;1.589,29;1.589,63;;1;
21-05-2021;1.594,22;1.576,42;1.590,33;;1;
20-05-2021;1.575,47;1.552,08;1.573,25;;1;
19-05-2021;1.552,68;1.531,58;1.545,33;;1;
18-05-2021;1.565,14;1.551,21;1.553,54;;1;
17-05-2021;1.555,87;1.529,81;1.551,72;;1;
12-05-2021;1.540,30;1.519,23;1.524,70;;1;
11-05-2021;1.542,92;1.507,32;1.520,59;;1;
10-05-2021;1.559,16;1.545,00;1.554,59;;1;
07-05-2021;1.558,15;1.536,99;1.557,89;;1;
06-05-2021;1.556,66;1.529,91;1.531,70;;1;
05-05-2021;1.563,69;1.537,93;1.549,80;;1;
04-05-2021;1.563,52;1.521,17;1.524,56;;1;
03-05-2021;1.558,08;1.541,87;1.552,29;;1;
29-04-2021;1.562,72;1.541,68;1.542,63;;1;
28-04-2021;1.561,76;1.540,84;1.555,02;;1;
27-04-2021;1.581,52;1.550,63;1.558,76;;1;
26-04-2021;1.558,43;1.541,56;1.542,64;;1;
23-04-2021;1.553,00;1.537,03;1.541,09;;1;
22-04-2021;1.548,86;1.515,39;1.546,47;;1;
21-04-2021;1.518,77;1.503,41;1.517,21;;1;
20-04-2021;1.518,62;1.498,02;1.498,02;;1;
19-04-2021;1.529,95;1.512,00;1.512,27;;1;
16-04-2021;1.521,77;1.505,89;1.519,21;;1;
15-04-2021;1.506,04;1.487,56;1.504,92;;1;
14-04-2021;1.510,00;1.489,52;1.489,63;;1;
13-04-2021;1.502,42;1.486,54;1.499,99;;1;
12-04-2021;1.504,19;1.481,74;1.483,99;;1;
09-04-2021;1.502,72;1.480,00;1.501,13;;1;
08-04-2021;1.488,91;1.460,90;1.487,28;;1;
07-04-2021;1.481,67;1.460,65;1.460,85;;1;
06-04-2021;1.487,62;1.464,00;1.475,37;;1;
31-03-2021;1.486,34;1.452,90;1.471,77;;1;
30-03-2021;1.461,00;1.450,44;1.455,03;;1;
29-03-2021;1.455,80;1.435,72;1.454,07;;1;
26-03-2021;1.439,41;1.422,04;1.439,35;;1;
25-03-2021;1.422,45;1.406,08;1.419,83;;1;
24-03-2021;1.434,86;1.415,48;1.416,13;;1;
23-03-2021;1.451,76;1.437,35;1.437,35;;1;
22-03-2021;1.454,85;1.428,78;1.450,40;;1;
19-03-2021;1.445,24;1.425,22;1.440,32;;1;
18-03-2021;1.445,40;1.422,13;1.440,06;;1;
17-03-2021;1.465,03;1.429,95;1.437,08;;1;
16-03-2021;1.467,51;1.448,19;1.466,29;;1;
15-03-2021;1.452,35;1.441,32;1.448,14;;1;
12-03-2021;1.449,52;1.431,82;1.434,78;;1;
11-03-2021;1.458,47;1.433,57;1.451,52;;1;
10-03-2021;1.443,41;1.414,09;1.439,45;;1;
09-03-2021;1.429,14;1.384,06;1.423,32;;1;
08-03-2021;1.387,46;1.362,94;1.384,00;;1;
05-03-2021;1.382,98;1.365,35;1.365,35;;1;
04-03-2021;1.406,87;1.379,99;1.386,18;;1;
03-03-2021;1.440,39;1.398,77;1.402,87;;1;
02-03-2021;1.456,26;1.437,28;1.437,47;;1;
01-03-2021;1.448,65;1.436,83;1.446,24;;1;
26-02-2021;1.443,33;1.413,30;1.421,46;;1;
25-02-2021;1.446,15;1.433,98;1.438,97;;1;
24-02-2021;1.439,23;1.418,54;1.425,09;;1;
23-02-2021;1.460,18;1.412,07;1.428,56;;1;
22-02-2021;1.478,64;1.455,90;1.455,90;;1;
19-02-2021;1.493,29;1.474,33;1.484,24;;1;
18-02-2021;1.516,23;1.488,20;1.489,55;;1;
17-02-2021;1.512,78;1.495,67;1.509,43;;1;
16-02-2021;1.517,76;1.510,25;1.511,68;;1;
15-02-2021;1.515,54;1.504,81;1.513,95;;1;
12-02-2021;1.502,16;1.481,11;1.500,99;;1;
11-02-2021;1.478,78;1.440,80;1.476,84;;1;
10-02-2021;1.456,97;1.432,67;1.437,14;;1;
09-02-2021;1.468,83;1.457,68;1.458,88;;1;
08-02-2021;1.482,66;1.465,23;1.467,62;;1;
05-02-2021;1.483,16;1.468,45;1.474,98;;1;
04-02-2021;1.499,10;1.467,19;1.468,60;;1;
03-02-2021;1.493,85;1.475,27;1.479,82;;1;
02-02-2021;1.469,26;1.444,50;1.465,16;;1;
01-02-2021;1.448,74;1.427,93;1.443,16;;1;
29-01-2021;1.436,80;1.417,53;1.419,46;;1;
28-01-2021;1.454,11;1.388,83;1.450,37;;1;
27-01-2021;1.471,94;1.424,47;1.440,33;;1;
26-01-2021;1.494,22;1.472,61;1.474,39;;1;
25-01-2021;1.492,39;1.475,13;1.489,74;;1;
22-01-2021;1.490,29;1.471,12;1.482,27;;1;
21-01-2021;1.498,60;1.482,04;1.485,26;;1;
20-01-2021;1.486,22;1.470,52;1.482,38;;1;
19-01-2021;1.485,46;1.469,91;1.483,67;;1;
18-01-2021;1.472,97;1.454,17;1.463,76;;1;
15-01-2021;1.472,00;1.451,84;1.459,77;;1;
14-01-2021;1.470,02;1.458,20;1.469,58;;1;
13-01-2021;1.464,05;1.434,59;1.463,44;;1;
12-01-2021;1.484,84;1.453,01;1.453,28;;1;
11-01-2021;1.487,36;1.468,64;1.476,62;;1;
08-01-2021;1.492,43;1.478,05;1.485,15;;1;
07-01-2021;1.480,20;1.466,61;1.472,97;;1;
06-01-2021;1.473,01;1.456,98;1.457,48;;1;
05-01-2021;1.487,62;1.465,61;1.466,02;;1;
04-01-2021;1.491,59;1.472,84;1.487,58;;1;
30-12-2020;1.481,80;1.465,17;1.465,17;;1;
29-12-2020;1.484,45;1.471,55;1.475,07;;1;
28-12-2020;1.473,85;1.449,67;1.472,55;;1;
23-12-2020;1.459,44;1.439,97;1.444,69;;1;
22-12-2020;1.454,43;1.445,18;1.452,58;;1;
21-12-2020;1.460,54;1.434,38;1.441,99;;1;
18-12-2020;1.454,79;1.430,45;1.454,79;;1;
17-12-2020;1.443,62;1.427,63;1.431,39;;1;
16-12-2020;1.433,59;1.403,52;1.429,97;;1;
15-12-2020;1.412,73;1.394,66;1.405,04;;1;
14-12-2020;1.412,06;1.396,98;1.410,58;;1;
11-12-2020;1.404,90;1.386,97;1.398,38;;1;
10-12-2020;1.411,46;1.392,99;1.394,58;;1;
09-12-2020;1.411,93;1.387,82;1.406,91;;1;
08-12-2020;1.393,51;1.379,48;1.393,51;;1;
07-12-2020;1.388,01;1.378,07;1.380,43;;1;
04-12-2020;1.379,73;1.367,84;1.371,47;;1;
03-12-2020;1.395,27;1.369,94;1.369,94;;1;
02-12-2020;1.406,78;1.382,24;1.391,02;;1;
01-12-2020;1.408,62;1.387,54;1.392,14;;1;
30-11-2020;1.419,07;1.401,02;1.404,78;;1;
27-11-2020;1.401,59;1.378,23;1.401,59;;1;
26-11-2020;1.386,87;1.373,02;1.383,41;;1;
25-11-2020;1.381,85;1.368,96;1.374,06;;1;
24-11-2020;1.399,93;1.371,36;1.372,09;;1;
23-11-2020;1.411,92;1.395,27;1.395,64;;1;
20-11-2020;1.409,55;1.386,66;1.409,55;;1;
19-11-2020;1.394,35;1.377,94;1.388,14;;1;
18-11-2020;1.393,93;1.377,23;1.383,41;;1;
17-11-2020;1.399,49;1.382,38;1.383,21;;1;
16-11-2020;1.404,90;1.378,55;1.389,68;;1;
13-11-2020;1.410,52;1.397,78;1.399,89;;1;
12-11-2020;1.416,68;1.392,10;1.406,13;;1;
11-11-2020;1.406,76;1.368,24;1.399,62;;1;
10-11-2020;1.406,76;1.365,45;1.377,04;;1;
09-11-2020;1.450,16;1.371,52;1.390,66;;1;
06-11-2020;1.433,99;1.409,45;1.418,01;;1;
05-11-2020;1.432,11;1.409,01;1.427,51;;1;
04-11-2020;1.394,89;1.334,94;1.394,89;;1;
03-11-2020;1.352,38;1.337,87;1.347,41;;1;
02-11-2020;1.339,93;1.317,95;1.335,78;;1;
30-10-2020;1.339,53;1.322,49;1.323,91;;1;
29-10-2020;1.349,89;1.312,52;1.340,77;;1;
28-10-2020;1.352,34;1.315,08;1.317,97;;1;
27-10-2020;1.360,89;1.347,16;1.349,70;;1;
26-10-2020;1.377,06;1.352,35;1.355,31;;1;
23-10-2020;1.384,18;1.375,22;1.378,47;;1;
22-10-2020;1.388,80;1.375,32;1.375,53;;1;
21-10-2020;1.406,85;1.387,26;1.387,26;;1;
20-10-2020;1.419,13;1.405,97;1.408,29;;1;
19-10-2020;1.425,96;1.410,26;1.410,26;;1;
16-10-2020;1.421,44;1.408,34;1.417,89;;1;
15-10-2020;1.425,55;1.406,38;1.408,78;;1;
14-10-2020;1.443,32;1.431,59;1.435,11;;1;
13-10-2020;1.444,52;1.430,67;1.440,57;;1;
12-10-2020;1.439,27;1.413,87;1.439,27;;1;
09-10-2020;1.412,38;1.403,20;1.409,83;;1;
08-10-2020;1.390,09;1.378,99;1.388,66;;1;
07-10-2020;1.387,42;1.373,57;1.376,09;;1;
06-10-2020;1.385,73;1.371,82;1.373,63;;1;
05-10-2020;1.384,47;1.371,73;1.384,47;;1;
02-10-2020;1.370,21;1.358,95;1.365,53;;1;
01-10-2020;1.377,93;1.363,17;1.373,22;;1;
30-09-2020;1.367,87;1.359,20;1.360,25;;1;
29-09-2020;1.371,06;1.352,33;1.366,96;;1;
28-09-2020;1.354,16;1.346,36;1.353,63;;1;
25-09-2020;1.335,42;1.320,70;1.335,42;;1;
24-09-2020;1.338,58;1.326,35;1.329,22;;1;
23-09-2020;1.347,97;1.322,42;1.347,03;;1;
22-09-2020;1.349,75;1.324,89;1.335,99;;1;
21-09-2020;1.346,24;1.321,92;1.331,00;;1;
18-09-2020;1.348,79;1.341,95;1.345,45;;1;
17-09-2020;1.347,80;1.328,78;1.345,88;;1;
16-09-2020;1.342,83;1.333,64;1.340,12;;1;
15-09-2020;1.337,92;1.316,32;1.330,96;;1;
14-09-2020;1.323,73;1.309,23;1.314,50;;1;
11-09-2020;1.320,92;1.312,48;1.315,16;;1;
10-09-2020;1.323,29;1.311,14;1.314,52;;1;
09-09-2020;1.325,49;1.294,86;1.321,83;;1;
08-09-2020;1.314,21;1.281,21;1.290,46;;1;
07-09-2020;1.313,46;1.291,63;1.310,55;;1;
04-09-2020;1.315,60;1.277,77;1.287,66;;1;
03-09-2020;1.344,38;1.316,30;1.316,30;;1;
02-09-2020;1.332,30;1.315,64;1.327,14;;1;
01-09-2020;1.329,68;1.310,48;1.310,48;;1;
31-08-2020;1.322,07;1.314,05;1.321,23;;1;
28-08-2020;1.324,96;1.312,03;1.314,52;;1;
27-08-2020;1.337,45;1.322,57;1.326,15;;1;
26-08-2020;1.333,79;1.317,80;1.331,79;;1;
25-08-2020;1.329,78;1.319,37;1.326,35;;1;
24-08-2020;1.335,24;1.322,80;1.323,36;;1;
21-08-2020;1.325,46;1.309,75;1.318,62;;1;
20-08-2020;1.319,20;1.307,30;1.310,24;;1;
19-08-2020;1.321,64;1.303,33;1.315,63;;1;
18-08-2020;1.322,37;1.299,90;1.304,93;;1;
17-08-2020;1.324,61;1.309,01;1.324,53;;1;
14-08-2020;1.325,37;1.310,24;1.310,24;;1;
13-08-2020;1.330,25;1.315,01;1.329,42;;1;
12-08-2020;1.328,38;1.303,80;1.328,36;;1;
11-08-2020;1.319,92;1.298,96;1.318,30;;1;
10-08-2020;1.299,55;1.286,35;1.290,66;;1;
07-08-2020;1.298,11;1.279,89;1.296,13;;1;
06-08-2020;1.300,73;1.279,03;1.279,88;;1;
05-08-2020;1.297,11;1.287,31;1.289,75;;1;
04-08-2020;1.308,74;1.280,91;1.289,08;;1;
03-08-2020;1.307,81;1.279,65;1.305,03;;1;
31-07-2020;1.313,25;1.286,36;1.287,22;;1;
30-07-2020;1.313,23;1.290,36;1.296,65;;1;
29-07-2020;1.313,08;1.301,97;1.303,53;;1;
28-07-2020;1.315,82;1.304,63;1.312,08;;1;
27-07-2020;1.312,05;1.297,83;1.310,84;;1;
24-07-2020;1.317,20;1.300,48;1.304,27;;1;
23-07-2020;1.339,95;1.326,57;1.326,64;;1;
22-07-2020;1.342,39;1.329,36;1.331,58;;1;
21-07-2020;1.349,73;1.337,85;1.341,52;;1;
20-07-2020;1.340,64;1.315,76;1.336,58;;1;
17-07-2020;1.315,68;1.303,89;1.313,85;;1;
16-07-2020;1.305,01;1.291,27;1.304,07;;1;
15-07-2020;1.308,90;1.286,94;1.308,90;;1;
14-07-2020;1.292,74;1.274,72;1.280,50;;1;
13-07-2020;1.299,44;1.281,87;1.299,44;;1;
10-07-2020;1.292,44;1.279,84;1.287,26;;1;
09-07-2020;1.293,03;1.284,24;1.285,41;;1;
08-07-2020;1.282,40;1.269,97;1.281,74;;1;
07-07-2020;1.275,93;1.260,84;1.274,28;;1;
06-07-2020;1.280,88;1.268,13;1.277,87;;1;
03-07-2020;1.282,14;1.267,99;1.269,71;;1;
02-07-2020;1.273,27;1.254,52;1.273,27;;1;
01-07-2020;1.256,22;1.241,24;1.254,60;;1;
30-06-2020;1.249,42;1.240,03;1.242,72;;1;
29-06-2020;1.254,19;1.240,38;1.243,79;;1;
26-06-2020;1.262,33;1.245,19;1.246,65;;1;
25-06-2020;1.256,98;1.240,12;1.254,10;;1;
24-06-2020;1.273,38;1.254,98;1.257,40;;1;
23-06-2020;1.280,30;1.269,67;1.279,83;;1;
22-06-2020;1.272,25;1.257,82;1.259,56;;1;
19-06-2020;1.275,55;1.255,25;1.265,13;;1;
18-06-2020;1.259,78;1.243,85;1.247,09;;1;
17-06-2020;1.258,53;1.237,40;1.258,53;;1;
16-06-2020;1.243,12;1.231,00;1.235,53;;1;
15-06-2020;1.226,70;1.194,89;1.220,59;;1;
12-06-2020;1.235,32;1.204,70;1.224,69;;1;
11-06-2020;1.242,55;1.224,25;1.226,03;;1;
10-06-2020;1.243,91;1.226,91;1.242,90;;1;
09-06-2020;1.243,47;1.220,80;1.229,24;;1;
08-06-2020;1.232,00;1.213,44;1.224,34;;1;
04-06-2020;1.241,33;1.229,00;1.231,49;;1;
03-06-2020;1.237,82;1.226,13;1.235,60;;1;
02-06-2020;1.245,24;1.223,08;1.234,33;;1;
29-05-2020;1.245,60;1.225,36;1.233,94;;1;
28-05-2020;1.236,27;1.206,56;1.233,47;;1;
27-05-2020;1.236,55;1.192,37;1.192,37;;1;
26-05-2020;1.247,30;1.228,78;1.232,39;;1;
25-05-2020;1.244,12;1.215,36;1.238,79;;1;
20-05-2020;1.223,86;1.204,36;1.223,79;;1;
19-05-2020;1.212,56;1.198,29;1.208,53;;1;
18-05-2020;1.200,96;1.188,33;1.198,88;;1;
15-05-2020;1.191,25;1.175,34;1.177,76;;1;
14-05-2020;1.189,79;1.174,33;1.174,33;;1;
13-05-2020;1.188,29;1.170,56;1.184,87;;1;
12-05-2020;1.196,05;1.179,55;1.187,71;;1;
11-05-2020;1.187,63;1.172,61;1.187,63;;1;
07-05-2020;1.178,92;1.161,99;1.170,32;;1;
06-05-2020;1.174,76;1.156,60;1.158,72;;1;
05-05-2020;1.156,62;1.145,18;1.152,46;;1;
04-05-2020;1.153,01;1.142,07;1.144,41;;1;
01-05-2020;1.164,29;1.147,79;1.155,80;;1;
30-04-2020;1.176,73;1.161,92;1.167,16;;1;
29-04-2020;1.180,96;1.159,53;1.166,16;;1;
28-04-2020;1.186,76;1.170,22;1.179,54;;1;
27-04-2020;1.175,75;1.167,68;1.169,02;;1;
24-04-2020;1.166,83;1.157,89;1.163,79;;1;
23-04-2020;1.177,91;1.153,49;1.174,49;;1;
22-04-2020;1.158,99;1.151,16;1.158,18;;1;
21-04-2020;1.162,55;1.148,96;1.154,18;;1;
20-04-2020;1.163,12;1.147,02;1.162,47;;1;
17-04-2020;1.144,82;1.131,59;1.144,82;;1;
16-04-2020;1.126,55;1.103,51;1.120,88;;1;
15-04-2020;1.118,39;1.098,61;1.102,68;;1;
14-04-2020;1.110,24;1.091,68;1.110,11;;1;
08-04-2020;1.093,56;1.076,64;1.088,72;;1;
07-04-2020;1.115,23;1.091,08;1.096,14;;1;
06-04-2020;1.107,17;1.084,49;1.091,19;;1;
03-04-2020;1.082,55;1.055,57;1.082,55;;1;
02-04-2020;1.076,41;1.046,00;1.064,83;;1;
01-04-2020;1.074,54;1.050,32;1.074,05;;1;
31-03-2020;1.092,27;1.066,92;1.073,74;;1;
30-03-2020;1.056,73;1.008,42;1.055,97;;1;
27-03-2020;1.024,12;1.007,89;1.019,60;;1;
26-03-2020;1.027,88;989,53;1.027,87;;1;
25-03-2020;1.016,46;977,08;993,08;;1;
24-03-2020;979,12;952,48;969,53;;1;
23-03-2020;967,39;930,72;939,76;;1;
20-03-2020;1.006,67;966,8;972,81;;1;
19-03-2020;971,69;948,08;965,86;;1;
18-03-2020;970,67;939,43;956,89;;1;
17-03-2020;992,62;938,01;978,98;;1;
16-03-2020;973,33;900,29;964,47;;1;
13-03-2020;1.051,59;970,24;979,67;;1;
12-03-2020;1.016,17;969,19;971,51;;1;
11-03-2020;1.086,14;1.046,03;1.050,54;;1;
10-03-2020;1.117,23;1.061,28;1.069,75;;1;
09-03-2020;1.107,16;1.068,51;1.085,60;;1;
06-03-2020;1.160,44;1.127,50;1.141,62;;1;
05-03-2020;1.204,47;1.171,63;1.176,41;;1;
04-03-2020;1.191,83;1.166,44;1.185,43;;1;
03-03-2020;1.181,92;1.153,00;1.174,03;;1;
02-03-2020;1.166,97;1.124,40;1.137,93;;1;
28-02-2020;1.139,67;1.112,24;1.124,07;;1;
27-02-2020;1.184,69;1.147,42;1.157,51;;1;
26-02-2020;1.191,08;1.132,26;1.187,11;;1;
25-02-2020;1.219,61;1.181,55;1.188,16;;1;
24-02-2020;1.243,31;1.204,55;1.207,04;;1;
21-02-2020;1.262,24;1.248,74;1.251,95;;1;
20-02-2020;1.276,39;1.259,79;1.262,78;;1;
19-02-2020;1.268,99;1.255,76;1.265,84;;1;
18-02-2020;1.256,84;1.233,97;1.255,64;;1;
17-02-2020;1.250,86;1.238,90;1.246,22;;1;
14-02-2020;1.246,88;1.239,08;1.245,00;;1;
13-02-2020;1.240,35;1.228,39;1.234,64;;1;
12-02-2020;1.240,97;1.227,52;1.237,21;;1;
11-02-2020;1.240,89;1.228,25;1.240,89;;1;
10-02-2020;1.229,93;1.220,39;1.227,63;;1;
07-02-2020;1.240,78;1.227,85;1.232,47;;1;
06-02-2020;1.238,96;1.221,77;1.238,96;;1;
05-02-2020;1.229,51;1.185,78;1.227,44;;1;
04-02-2020;1.194,14;1.175,11;1.191,86;;1;
03-02-2020;1.177,86;1.170,12;1.176,74;;1;
31-01-2020;1.185,14;1.173,24;1.174,76;;1;
30-01-2020;1.186,01;1.171,29;1.171,62;;1;
29-01-2020;1.188,55;1.171,36;1.188,05;;1;
28-01-2020;1.171,84;1.157,81;1.170,98;;1;
